in_holocene_study,Family,Feeding,Piscivore,Habit,Reef_associated,Cryptobenthic,Gross_habitat,harvested_archaeo,harvested_modern,harvested_combined,prey_of_harvested_fishes,Order,Class
No,Ephippidae,omnivore_carnivore,No,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Acanthuriformes,Actinopterygii
No,Erythrinidae,NA,NA,NA,NA,Not cryptobenthic,Freshwater,NA,NA,NA,NA,Characiformes,Actinopterygii
No,Fistulariidae,piscivore,Yes,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Syngnathiformes,Actinopterygii
No,Ginglymostomatidae,omnivore_carnivore,No,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Orectolobiformes,Elasmobranchii
No,Hemigaleidae,piscivore,Yes,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Carcharhiniformes,Elasmobranchii
No,Heptapteridae,NA,NA,NA,NA,Not cryptobenthic,Freshwater,NA,NA,NA,NA,Siluriformes,Actinopterygii
No,Heterenchelyidae,omnivore_carnivore,No,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Anguilliformes,Actinopterygii
No,Heterodontidae,omnivore_carnivore,No,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Heterodontiformes,Elasmobranchii
No,Istiophoridae,piscivore,Yes,pelagic,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Carangiformes,Actinopterygii
No,Kyphosidae,herbivore,No,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Centrarchiformes,Actinopterygii
No,Lactariidae,omnivore_carnivore,No,pelagic,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Carangiformes,Actinopterygii
No,Lamnidae,piscivore,Yes,pelagic,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Lamniformes,Elasmobranchii
No,Lobotidae,piscivore,Yes,pelagic,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Acanthuriformes,Actinopterygii
No,Macrouridae,omnivore_carnivore,No,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Gadiformes,Actinopterygii
No,Malacanthidae,omnivore_carnivore,No,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Acanthuriformes,Actinopterygii
No,Megalopidae,piscivore,Yes,pelagic,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Elopiformes,Actinopterygii
No,Merlucciidae,piscivore,Yes,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Gadiformes,Actinopterygii
No,Moridae,omnivore_carnivore,No,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Gadiformes,Actinopterygii
Yes,Mugilidae,herbivore,No,demersal,Yes,Not cryptobenthic,Marine,Yes,Yes,Yes,Yes,Mugiliformes,Actinopterygii
No,Muraenesocidae,piscivore,Yes,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Anguilliformes,Actinopterygii
