Family,Species,Type,Locality,a,b
Gobiidae,Bathygobius soporator,TL,"Santa Catarina (Saco da Frazenda, 2005-2006)",0.0191,2.9
Gobiidae,Bathygobius soporator,TL,"Santa Catarina (Saco da Frazenda, 1997-1998)",0.0149,2.99
Gobiidae,Bathygobius soporator,TL,"Santa Catarina (Saco da Frazenda, 2005-2006)",0.0166,2.97
Congridae,Bathyuroconger vicinus,TL,Southwest Indian EEZ / 2006.,0.00037,3.31
Batrachoididae,Batrachoides surinamensis,TL,"Northern region (Curuçá Estuary), Pará, 2003-2004.",0.0031,3.47
Batrachoididae,Batrachoides surinamensis,TL,"Pará (0°S - 25°S), 2003-2004",0.00656,3.172
Batrachoididae,Batrachoides surinamensis,TL,"Ilha de Paciência, Maranhão, 2006-2007",0.0176,2.977
Batrachoididae,Batrachoides surinamensis,TL,"Marapanim River, Para State / 2006-2007.",0.004,3.49
Bothidae,Bothus leopardinus,TL,Baja California Sur / 2004 - 2006,0.009,3.303
Bothidae,Bothus leopardinus,TL,"Gulf of California (Southern Sinaloa and Nayarit), 2005-2007",0.027,2.607
Bothidae,Bothus lunatus,TL,Southern Florida,0.00981,3.189
Bothidae,Bothus ocellatus,TL,"Northeast Brazilian continental shelf / 2015, 2017.",0.0108,3.03
Bothidae,Bothus ocellatus,TL,Northeastern Brazilian coast / 2013-2014.,0.0598,2.2102
Bregmacerotidae,Bregmaceros atlanticus,TL,"South-Southeast EEZ /1996, 1997.",0.00344,3.235
Bregmacerotidae,Bregmaceros atlanticus,TL,Caribbean Sea / 1999,0.00874,2.54
Bregmacerotidae,Bregmaceros atlanticus,TL,Southwestern EEZ of Brazil.,0.00515,2.999
Bregmacerotidae,Bregmaceros atlanticus,TL,"NE Mediterranean coast, 2001-2003",0.0032,3.289
Bregmacerotidae,Bregmaceros cantori,TL,"South-Southeast EEZ /1996, 1997.",0.00411,3.137
Bregmacerotidae,Bregmaceros cantori,TL,Southwestern EEZ of Brazil.,0.0051,2.999
Ophidiidae,Brotula barbata,TL,NA,0.00732,3
Ophidiidae,Brotula barbata,TL,Cape Verde peninsula / 2010-2011,0.003,3.25
Ophidiidae,Brotula clarkae,TL,"Gulf of California (Southern Sinaloa and Nayarit), 2005-2007",0.003,3.091
Ophidiidae,Brotula clarkae,TL,"Pacific coast, 2012-2013",0.005,3.1
Sparidae,Calamus bajonado,TL,Florida/2015-2016,0.01234,3.05
Sparidae,Calamus calamus,TL,"Northeast Brazilian continental shelf / 2015, 2017.",0.0306,2.81
Sparidae,Calamus pennatula,TL,"Central coast, 1993-2000",0.0119,3.093
Carangidae,Caranx bartholomaei,TL,Pernambuco / 2011-2014.,0.0298,2.71
Carangidae,Caranx caballus,TL,Las Perlas archipelago/2005-2006,0.023,2.78
Carangidae,Caranx caballus,TL,Las Perlas archipelago/2005-2006,0.027,2.75
Carangidae,Caranx caninus,TL,NA,0.0161,3
Carangidae,Caranx caninus,TL,Barra de Navidad lagoon / 2002-2003,0.0129,2.98
Carangidae,Caranx caninus,TL,"near mouth of Rio Verde, Oaxaca / 2009-2010.",0.0213,2.85
Carangidae,Caranx crysos,TL,1984,0.0169,3.02
Carangidae,Caranx crysos,TL,"Central coast, 1993-2000",0.0459,2.593
Carangidae,Caranx crysos,TL,"Iskenderun Bay, off Yumurtal?k, Adana, 2008-2009",0.01,3
Carangidae,Caranx crysos,TL,"Caribbean coast, 2012-2013",0.015,2.906
Carangidae,Caranx crysos,TL,Itaipu/2001-2004,0.008,3.14
Carangidae,Caranx crysos,TL,Continental shelf and upper slope / 2008-2011,0.0089,3.11
Carangidae,Caranx hippos,TL,Tamil Nadu and Pondicherry,0.0329,2.855
Carangidae,Caranx hippos,TL,"Caribbean coast, 2012-2013",0.022,2.825
Carangidae,Caranx hippos,TL,"Mono Basin (Benin and Togo, West Africa) / 2011-2014.",0.012,3.035
Carangidae,Caranx hippos,TL,Pernambuco / 2011-2014.,0.0231,2.83
